uri,track_name,artist_uri,artist_name,album_uri,album_name,album_artist_uri,album_artist_name,album_release_date,album_image_url,disc_number,track_number,track_duration_ms,track_preview_url,explicit,popularity,isrc,added_by,added_at,itunes_identifier,guess_date
spotify:track:13SpmZVSu9m6SmsQuCYpF3,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",spotify:artist:1LZEQNv7sE11VDY3SdxQeN,Bee Gees,spotify:album:6kFmH2VMMFaUrK4QhY4hLi,Saturday Night Fever (The Original Movie Soundtrack),spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Artisti Vari,1977,https://i.scdn.co/image/ab67616d0000b273605128d275ca60ccc9cd3b6d,1,1,284066,https://p.scdn.co/mp3-preview/400b474df42c6f068a213658e5f3c6057ee8b75f?cid=9950ac751e34487dbbe027c4fd7f8e99,False,38,NLF057790034,spotify:user:11135692880,2020-03-25T01:50:05Z,,2024-11-06 21:32:42.998927
spotify:track:2XVQdI3m0giGxNrwUhV3yP,Funkytown,spotify:artist:0lwRI7lvmlRY5DiA5Xa6wQ,Lipps Inc.,spotify:album:1SMBOCE8CFqxr2EB92Asqh,Mouth To Mouth,spotify:artist:0lwRI7lvmlRY5DiA5Xa6wQ,Lipps Inc.,1979,https://i.scdn.co/image/ab67616d0000b273a5296d028b3e255aec56fc3c,1,1,470346,https://p.scdn.co/mp3-preview/daacde1ba8ff23794455952b67f5a6eebff90ec6?cid=9950ac751e34487dbbe027c4fd7f8e99,False,59,USIR20300047,spotify:user:11135692880,2023-04-03T23:36:48Z,1440927060.0,2024-10-14 21:32:42.998927
spotify:track:2ccUQnjjNWT0rsNnsBpsCA,Surrender,spotify:artist:1LB8qB5BPb3MHQrfkvifXU,Cheap Trick,spotify:album:5w20U3G3GyWiPvvDeVzkhN,Heaven Tonight,spotify:artist:1LB8qB5BPb3MHQrfkvifXU,Cheap Trick,1978,https://i.scdn.co/image/ab67616d0000b27361e605b2786f724b37f0176d,1,1,253733,https://p.scdn.co/mp3-preview/c5c316a4b47eacfa1e9a4fe34ca337d10ec435e8?cid=9950ac751e34487dbbe027c4fd7f8e99,False,65,USSM19802566,spotify:user:11135692880,2023-04-03T23:36:48Z,186353021.0,2024-10-12 21:32:42.998927
spotify:track:72ahyckBJfTigJCFCviVN7,Don't Bring Me Down,spotify:artist:7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,spotify:album:1CvVSn2MtKDBR6aWMkNkem,Discovery,spotify:artist:7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,1979,https://i.scdn.co/image/ab67616d0000b273c18cc9d6fcea1478b1257678,1,9,243373,https://p.scdn.co/mp3-preview/1f3ec1a218a97ea45824f96fa1850193031d36d3?cid=9950ac751e34487dbbe027c4fd7f8e99,False,78,USSM10015734,spotify:user:11135692880,2023-04-03T23:36:48Z,321098097.0,2024-11-09 21:32:42.998927
spotify:track:7vidktgNZFQylTgH1GEnMs,Cold as Ice,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,Foreigner,spotify:album:1OU7zJvUfgxxPHgkTClt1M,Foreigner (Expanded),spotify:artist:6IRouO5mvvfcyxtPDKMYFN,Foreigner,1977,https://i.scdn.co/image/ab67616d0000b2730ef24611a73e7be48f6c2802,1,2,203133,https://p.scdn.co/mp3-preview/5d56702e68eb023f9e0c41b37b5e14ffd06a2851?cid=9950ac751e34487dbbe027c4fd7f8e99,False,69,USAT29900657,spotify:user:11135692880,2023-04-03T23:36:48Z,924465862.0,2024-12-16 21:32:42.998927
spotify:track:1HOMkjp0nHMaTnfAkslCQj,My Sharona,spotify:artist:0Nn9YwJzcaeuU1jJL06e3r,The Knack,spotify:album:6H0wsYDvFlATzXHn0IqVpi,Get The Knack,spotify:artist:0Nn9YwJzcaeuU1jJL06e3r,The Knack,1979,https://i.scdn.co/image/ab67616d0000b273af6b486fa0a2959f79c8acd8,1,7,295400,https://p.scdn.co/mp3-preview/5ef1f80be4197f4863d1e0f3f267259a97d26f15?cid=9950ac751e34487dbbe027c4fd7f8e99,False,70,USCA28900153,spotify:user:11135692880,2023-04-03T23:36:48Z,690954688.0,2024-11-29 21:32:42.998927
spotify:track:1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,spotify:artist:29kkCKKGXheHuoO829FxWK,Boston,spotify:album:2QLp07RO6anZHmtcKTEvSC,Boston,spotify:artist:29kkCKKGXheHuoO829FxWK,Boston,1976,https://i.scdn.co/image/ab67616d0000b2738c1fadcc997a65384f34d694,1,1,285133,https://p.scdn.co/mp3-preview/4e8704349932ecb754e3c03cdf3b1563309627a0?cid=9950ac751e34487dbbe027c4fd7f8e99,False,77,USSM17600941,spotify:user:11135692880,2023-04-03T23:36:48Z,218124730.0,2024-12-08 21:32:42.998927
spotify:track:4aVuWgvD0X63hcOCnZtNFA,Hold the Line,spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,TOTO,spotify:album:1mnu4hYvdwQgZXcNvtJ3D3,Toto,spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,TOTO,1978,https://i.scdn.co/image/ab67616d0000b273f903e62767a0e22e33b7af83,1,9,235546,https://p.scdn.co/mp3-preview/11e480955e46f3b6b5c1e0b6c28db18c25c1e73e?cid=9950ac751e34487dbbe027c4fd7f8e99,False,85,USSM17800444,spotify:user:11135692880,2023-04-03T23:36:48Z,890507506.0,2024-10-24 21:32:42.998927
spotify:track:3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",spotify:artist:3PhoLpVuITZKcymswpck5b,Elton John,spotify:album:2ei2X6ghPnw7YRwQtAH075,Honky Chateau,spotify:artist:3PhoLpVuITZKcymswpck5b,Elton John,1972,https://i.scdn.co/image/ab67616d0000b2733009007708ab5134936a58b3,1,5,281613,https://p.scdn.co/mp3-preview/c7316d016815fab0bb5ecb309da33e57d4da69c5?cid=9950ac751e34487dbbe027c4fd7f8e99,False,81,GBAMB7200006,spotify:user:11135692880,2024-10-02T19:49:07Z,,2024-12-12 21:32:42.998927
spotify:track:7K8QsHbmUpSX37oOCL4e2g,Kung Fu Fighting,spotify:artist:5Pqx4mXYDGIDcg8E5FYjZ8,Carl Douglas,spotify:album:53DDpuRxvNAUby9WODE3h2,Kung Fu Fighter,spotify:artist:5Pqx4mXYDGIDcg8E5FYjZ8,Carl Douglas,1974,https://i.scdn.co/image/ab67616d0000b273131815c9e03c070a5a953a43,1,1,197935,https://p.scdn.co/mp3-preview/9986a744a86515731713d009f2d113810fae3a5d?cid=9950ac751e34487dbbe027c4fd7f8e99,False,70,GBAJE7400014,spotify:user:k-i-a,2024-05-20T10:16:10Z,1618254459.0,2024-11-13 21:32:42.998927
